Belgian Second Division,,ASV Geel,CS Vise Wezet,1-1,2,0-1,1-0,20,0,0,0,21,25,7,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,2.23,3.35,3.15,3.40,2.99,0.5,0/,0.98,0.90,0.92,1.00,2.5,,0.89,1.11,0.99,0.78
Russian National Football League,,FK Sochi,SKA Khabarovsk,0-0,0,0-0,0-0,7,21,8,27,25,65,24,65,16,39,13,42,22,11,1,10,50,8,36.4,12,54.5,12,4,1,7,33.3,4,33.3,7,58.3,10,7,0,3,70,4,40,5,50,27,14,3,10,51.9,12,44.4,12,44.4,14,8,2,4,57.1,5,35.7,7,50,13,6,1,6,46.2,7,53.8,5,38.5
Northern Ireland Premier League,,Ballinamallard United,Portadown,1-2,3,1-2,0-0,46,21,4,26,45,19,5,24,1,1,0,0,100,0,0,1,100,,,,,,,,,,1,1,0,0,100,0,0,1,100,1,1,0,0,100,0,0,1,100,,,,,,,,,,1,1,0,0,100,0,0,1,100,4.10,3.90,3.50,3.45,1.69,1.74,-0.5,,1.16,1.09,0.70,0.75,2.5/3,,0.92,,0.90,
Russian National Football League,,Yenisey Krasnoyarsk,Torpedo moskva,1-0,1,0-0,1-0,32,78,21,67,17,22,11,27,24,48,15,40,27,10,2,15,37,12,44.4,14,51.9,13,4,1,8,30.8,7,53.8,6,46.2,14,6,1,7,42.9,5,35.7,8,57.1,27,14,3,10,51.9,12,44.4,14,51.9,15,9,2,4,60,8,53.3,6,40,12,5,1,6,41.7,4,33.3,8,66.7
Russian National Football League,,Yenisey Krasnoyarsk,Shinnik Yaroslavl,1-1,2,0-0,1-1,5,29,6,24,28,104,24,63,18,66,11,41,27,10,2,15,37,12,44.4,14,51.9,13,4,1,8,30.8,7,53.8,6,46.2,14,6,1,7,42.9,5,35.7,8,57.1,27,12,1,14,44.4,16,59.3,11,40.7,13,5,0,8,38.5,7,53.8,6,46.2,14,7,1,6,50,9,64.3,5,35.7
Russian National Football League,,Volgar-Gazprom Astrachan,Tom Tomsk,1-3,4,0-2,1-1,5,22,13,33,22,61,29,90,14,42,23,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,11,4,12,40.7,10,37,14,51.9,13,6,3,4,46.2,5,38.5,8,61.5,14,5,1,8,35.7,5,35.7,6,42.9
Russian National Football League,"Sunny, 13℃～14℃",Luch Energiya,SKA Khabarovsk,1-0,1,0-0,1-0,7,21,8,27,25,65,24,65,16,39,13,42,27,11,2,14,40.7,10,37,13,48.1,14,3,2,9,21.4,5,35.7,6,42.9,13,8,0,5,61.5,5,38.5,7,53.8,27,14,3,10,51.9,12,44.4,12,44.4,14,8,2,4,57.1,5,35.7,7,50,13,6,1,6,46.2,7,53.8,5,38.5
Russian National Football League,,Shinnik Yaroslavl,Tom Tomsk,0-0,0,0-0,0-0,5,22,13,33,22,61,29,90,14,42,23,62,27,12,1,14,44.4,16,59.3,11,40.7,13,5,0,8,38.5,7,53.8,6,46.2,14,7,1,6,50,9,64.3,5,35.7,27,11,4,12,40.7,10,37,14,51.9,13,6,3,4,46.2,5,38.5,8,61.5,14,5,1,8,35.7,5,35.7,6,42.9
Russian National Football League,,Sokol,Khimik Dzerzhinsk,1-2,3,1-1,0-1,49,127,31,79,12,32,10,29,20,49,20,44,9,4,0,5,44.4,3,33.3,6,66.7,4,1,0,3,25,1,25,3,75,5,3,0,2,60,2,40,3,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,Kryliya Sovetov,FK Ruan Tosno,0-2,2,0-1,0-1,22,68,22,61,4,17,8,27,8,38,15,42,22,8,2,12,36.4,8,36.4,14,63.6,11,3,1,7,27.3,4,36.4,7,63.6,11,5,1,5,45.5,4,36.4,7,63.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian National Football League,,SKA Khabarovsk,FK Sochi,3-1,4,0-1,3-0,16,29,6,19,27,61,19,65,21,46,10,35,27,14,3,10,51.9,12,44.4,12,44.4,14,8,2,4,57.1,5,35.7,7,50,13,6,1,6,46.2,7,53.8,5,38.5,22,11,1,10,50,8,36.4,12,54.5,12,4,1,7,33.3,4,33.3,7,58.3,10,7,0,3,70,4,40,5,50
Belgian Second Division,,KSK Heist,ASV Geel,2-1,3,0-1,2-0,35,30,8,31,21,25,7,24,5,2,0,3,40,3,60,2,40,2,1,0,1,50,1,50,1,50,3,1,0,2,33.3,2,66.7,1,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,3.40,3.25,3.30,2.04,1.99,-0.5,,0.85,0.90,1.05,1.00,3,,1.09,1.08,0.79,0.80
Russian National Football League,,Tom Tomsk,Yenisey Krasnoyarsk,0-2,2,0-1,0-1,6,21,6,28,25,52,14,55,21,37,10,43,27,11,4,12,40.7,10,37,14,51.9,13,6,3,4,46.2,5,38.5,8,61.5,14,5,1,8,35.7,5,35.7,6,42.9,27,10,2,15,37,12,44.4,14,51.9,13,4,1,8,30.8,7,53.8,6,46.2,14,6,1,7,42.9,5,35.7,8,57.1
Russian National Football League,,Tyumen,Sibir Novosibirsk,0-1,1,0-1,0-0,2,27,2,19,21,59,12,46,7,47,7,31,9,4,1,4,44.4,4,44.4,5,55.6,5,3,0,2,60,2,40,3,60,4,1,1,2,25,2,50,2,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus 1 Division,,AE Zakakiou,Anagennisi FC Deryneia,1-1,2,0-0,1-1,9,22,7,20,17,31,13,36,8,4,0,4,50,3,37.5,5,62.5,4,3,0,1,75,2,50,2,50,4,1,0,3,25,1,25,3,75,8,3,0,5,37.5,1,12.5,7,87.5,4,2,0,2,50,0,0,4,100,4,1,0,3,25,1,25,3,75,2.16,,3.10,,3.00,,0.5,,1.25,1.40,0.68,0.59,2.5,,1.13,1.12,0.74,0.75
Belgian Second Division,,Tubize,KSK Heist,1-2,3,0-1,1-1,23,34,6,34,20,21,5,21,7,4,0,3,57.1,2,28.6,5,71.4,2,2,0,0,100,1,50,1,50,5,2,0,3,40,1,20,4,80,5,2,0,3,40,3,60,2,40,2,1,0,1,50,1,50,1,50,3,1,0,2,33.3,2,66.7,1,33.3,1.75,1.66,3.40,3.50,4.30,4.70,0.5/1,,1.06,0.94,0.84,0.96,2.5,,1.00,,0.88,
Northern Ireland Premier League,,Institute FC,Glenavon Lurgan,1-4,5,0-3,1-1,6,16,17,40,28,101,36,112,19,57,24,68,29,13,1,15,44.8,14,48.3,12,41.4,13,3,0,10,23.1,6,46.2,6,46.2,16,10,1,5,62.5,8,50,6,37.5,30,14,2,14,46.7,19,63.3,9,30,14,9,0,5,64.3,8,57.1,5,35.7,16,5,2,9,31.2,11,68.8,4,25
Poland Liga 1,,Dolcan Zabki,Chojniczanka Chojnice,0-3,3,0-0,0-3,28,97,36,93,8,24,6,29,19,48,18,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,8,2,12,36.4,14,63.6,8,36.4,13,3,1,9,23.1,8,61.5,5,38.5,9,5,1,3,55.6,6,66.7,3,33.3
